;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
0;F; 69.222,18 ;Department of Police;MSB Information Mgmt and Tech Division Records Management Section;Fulltime-Regular;Office Services Coordinator;1986
1;M; 97.392,47 ;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Master Police Officer;1988
2;F; 104.717,28 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker IV;1989
3;M; 52.734,57 ;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2014
4;M; 93.396,00 ;Department of Housing and Community Affairs;Affordable Housing Programs;Fulltime-Regular;Planning Specialist III;2007
5;M; 70.435,00 ;Department of Police;PSB 6th District Special Assignment Team;Fulltime-Regular;Police Officer III;2007
6;F; 60.300,00 ;Fire and Rescue Services;EMS Billing;Fulltime-Regular;Accountant/Auditor II;2016
7;M; 64.788,65 ;Department of Health and Human Services;Head Start;Fulltime-Regular;Administrative Specialist II;2014
8;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
9;F; 47.670,09 ;Department of Police;FSB Traffic Division Automated Traffic Enforcement Section;Fulltime-Regular;Police Aide;2007
10;M; 63.492,87 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Electrician I;2014
11;M; 58.671,02 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2002
12;F; 152.343,20 ;Department of Health and Human Services;STD and HIV Services;Parttime-Regular;Medical Doctor III - Physician;2003
13;M; 46.626,87 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
14;M; 40.631,32 ;Department of Transportation;Transportation Management;Fulltime-Regular;Traffic Management Technician II;2015
15;F; 41.220,18 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2016
16;F; 97.190,31 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2006
17;M; 118.400,00 ;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Senior Information Technology Specialist;2005
18;F; 55.139,66 ;Department of Public Libraries;Olney Library;Fulltime-Regular;Library Assistant I;2000
19;M; 18.881,74 ;Department of Public Libraries;Long Branch Library;Parttime-Regular;Library Assistant I;2010
20;F; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
21;F; 21.766,20 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2004
22;F; 17.269,00 ;Department of Health and Human Services;Community Support Network for People with Disabilities;Parttime-Regular;Office Clerk;2010
23;M; 65.699,03 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2007
