id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
1,F,69222.18,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,1986
2,M,97392.47,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Master Police Officer,1988
3,F,104717.28,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,1989
4,M,52734.57,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2014
5,M,93396,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Planning Specialist III,2007
6,M,70435,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007
7,F,60300,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Accountant/Auditor II,2016
8,M,64788.65,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,2014
9,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
10,F,47670.09,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,2007
11,M,63492.87,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,2014
12,M,58671.02,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2002
13,F,152343.2,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor III - Physician,2003
14,M,46626.87,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
15,M,40631.32,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician II,2015
16,F,41220.18,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2016
17,F,97190.31,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,2006
18,M,118400,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Senior Information Technology Specialist,2005
19,F,55139.66,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant I,2000
20,M,18881.74,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,2010
21,F,42053.83,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
22,F,21766.2,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2004
23,F,17269,Department of Health and Human Services,Community Support Network for People with Disabilities,Parttime-Regular,Office Clerk,2010
24,?,58000,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Recreation Specialist,2016
25,M,65699.03,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2007
26,M,156516.65,Department of Finance,Information Technology,Fulltime-Regular,Manager II,2005
27,M,27805.44,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,2016
28,M,62836.91,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000
29,M,53148.66,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,2014
30,F,87758.24,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist III,2006
31,M,38953.38,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician III,2007
32,F,97912,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,1990
33,F,16049,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,2015
34,M,28772.07,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,2015
35,F,40000,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,2016
36,M,86588,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,2003
37,M,45048.5,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012
38,M,176837,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,2007
39,M,73801,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Technician,2013
40,M,80980.21,Department of Liquor Control,'Licensure,Regulation and Education',Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,2008
41,M,64141,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1999
42,F,70671.77,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,2008
43,M,68015,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,2006
44,M,58867.29,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,1996
45,M,85405,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1997
46,F,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
47,F,86673.48,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,1988
48,F,93396,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,1996
49,F,72445.29,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,1992
50,M,123803.77,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Manager III,2012
51,F,67384,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2005
52,F,29779.06,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,2012
53,M,46626.08,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2008
54,M,42053.83,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
55,M,29779.09,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,2014
56,F,54272.21,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2007
57,F,94373.24,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,2007
58,F,29779.06,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,2013
59,M,78402.89,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,1996
60,F,107657,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Specialist III,1999
61,M,83497.98,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,1988
62,F,96197.88,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,1988
63,F,76015.03,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,1994
64,M,63067.93,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Traffic Field Service Technician II,1979
65,M,46325.18,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2006
66,M,110886.71,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1989
67,F,42792,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2016
68,F,95263.92,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,1989
69,M,60501,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2012
70,M,110886.71,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988
71,F,18247.04,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,2005
72,M,93396,Department of Finance,Treasury Operations,Fulltime-Regular,Accountant/Auditor III,1999
73,F,68940.72,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,2015
74,F,74426.11,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist II,2011
75,F,80947.6,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Administrative Specialist III,2012
76,F,57300,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2016
77,M,28461.33,Department of Health and Human Services,School Health Services Center,Parttime-Regular,School Health Room Technician I,2016
78,F,64827.88,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2005
79,M,58455,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
80,F,58322.67,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,2006
81,M,73810.48,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Program Specialist II,2014
82,F,51355.01,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2006
83,M,46626.87,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2008
84,F,70319.8,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2008
85,F,228383,Department of Health and Human Services,Director\'s Office,Fulltime-Regular,Director Department of Health and Human Services,2007
86,F,50785.5,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014
87,M,58605.82,Office of Human Rights,Director\'s Office,Fulltime-Regular,Office Services Coordinator,2002
88,F,37838.73,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2011
89,M,88980.92,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,2006
90,M,48258.81,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007
91,M,46626.87,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008
92,M,28772.17,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,2015
