id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
21853;Bright and airy room;83531;Abdel;Latina;CÃ¡rmenes;40,40381;-3,7413;Private room;31;4;33;15/7/2018;0,29;2;233;0;
204570;Lovely 110m2 home - Best location!;1004721;Alex;Centro;Cortes;40,4152;-3,69668;Entire home/apt;180;6;103;12/7/2023;0,68;1;10;2;
24805;Gran Via Studio Madrid;346366726;Alvaro;Centro;Universidad;40,42183;-3,70529;Entire home/apt;92;5;35;28/2/2024;0,31;1;91;10;
205199;Tafari Gran Via;1008659;Nuria;Centro;Universidad;40,42116;-3,70384;Entire home/apt;65;7;333;25/2/2024;2,18;4;334;26;VT-121
209373;Attic in the Heart of Madrid-WIFI;1031664;JosÃ©;Centro;Embajadores;40,41126;-3,70347;Private room;32;1;77;2/7/2023;0,52;1;174;18;
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;1090760;Jon;Hortaleza;Canillas;40,45959;-3,64699;Private room;75;2;190;10/3/2024;1,26;1;306;25;
219303;*** MalasaÃ±a B&B exterior***;499977;Charo;Centro;Universidad;40,42377;-3,70241;Private room;38;1;303;27/2/2024;2;3;288;54;
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;Luis;Centro;Justicia;40,41969;-3,69736;Entire home/apt;96;2;138;28/1/2024;0,83;15;285;10;
221017;Apartament Center Atocha ll;1146227;Davinia;Centro;Embajadores;40,4131;-3,70086;Entire home/apt;130;3;33;28/2/2024;0,22;2;38;7;
229664;Beautiful cozy loft madrid center;1130651;Sergio;Centro;Embajadores;40,4078;-3,70085;Entire home/apt;69;10;538;12/1/2024;3,55;3;292;19;
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;Arturo;Centro;Justicia;40,41884;-3,69655;Private room;68;1;181;11/3/2024;2,53;3;324;27;
233011;Apartament Center Atocha l;1146227;Davinia;Centro;Embajadores;40,41175;-3,70021;Entire home/apt;72;3;32;19/3/2024;0,22;2;291;2;
250858;Cheap partament near green Areas R1;630482;Raquel;Carabanchel;OpaÃ±el;40,39231;-3,72359;Private room;40;30;2;8/5/2012;0,01;1;364;0;
70073;Adorable Apartment MalasaÃ±a-Gran Via;353738;Raquel;Centro;Universidad;40,42252;-3,7025;Entire home/apt;94;28;32;3/7/2023;0,21;3;176;4;
256004;ARCO TOLEDO - CUCHILLEROS ST. CASA BALCONIES;1732442;Anouk;Centro;Sol;40,41428;-3,70767;Entire home/apt;94;3;191;25/2/2024;1,31;5;340;28;VT-519
70310;Heart of MalasaÃ±a Cozy, Quiet & Sunny Apartment;353738;Raquel;Centro;Universidad;40,42252;-3,7025;Entire home/apt;65;30;29;18/11/2023;0,18;3;276;3;
72150;Sunny attic duplex flat with terrace next to Sol;364585;Vin;Centro;Embajadores;40,4115;-3,70449;Entire home/apt;163;3;109;4/3/2024;0,68;5;177;1;VT-6993
258713;Apartamento cÃ©ntrico, tranquilo y luminoso.;1359945;Azucena;Arganzuela;Chopera;40,39627;-3,69926;Entire home/apt;91;4;44;10/3/2024;0,33;1;10;32;
74352;Cozy apartment in the coolest  neighbourhood;391014;Juan;Centro;Embajadores;40,40864;-3,70884;Entire home/apt;80;8;5;4/8/2019;0,06;1;1;0;
260951;"Spectacular Loft ""A"" Ifema  Madrid";1351865;Angela;Hortaleza;Valdefuentes;40,47189;-3,62966;Entire home/apt;260;3;136;21/5/2021;0,94;2;137;0;
84719;Cool Apart. (10min Center + WIFI);259229;Felipe;Centro;Embajadores;40,40866;-3,70374;Entire home/apt;80;7;184;29/9/2021;1,17;1;69;0;VT2922
261878;Great Studio! Best Reviews!;1373873;Al;Centro;Universidad;40,42377853;-3,702780962;Entire home/apt;140;1;611;3/3/2024;4,07;1;126;42;
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;Vin;Centro;Embajadores;40,40939;-3,69812;Entire home/apt;200;3;198;27/1/2024;1,27;5;180;15;VT-3974
263748;"LOFT ""C"" cerca de  IFEMA Madrid";1351865;Angela;Hortaleza;Valdefuentes;40,47142;-3,62881;Entire home/apt;110;2;133;18/2/2024;0,94;2;292;10;
89954;Amazing apt in the historic center;487095;Beatriz;Centro;Palacio;40,41358;-3,71353;Entire home/apt;180;3;247;1/1/2024;1,59;1;335;20;VT 3441
268275;Madrid Centro Puerta del Sol - Atocha con balcones;1406073;Jose Antonio;Centro;Embajadores;40,412682;-3,702548;Entire home/apt;120;3;69;12/10/2023;0,47;1;236;6;VT-1874
272279;Welcome home, El Rastro;1425071;Enrique;Centro;Embajadores;40,4093;-3,70884;Entire home/apt;129;5;214;2/3/2024;1,44;2;66;26;
93100;*** MALASAÃ‘A B&B ***;499977;Charo;Centro;Universidad;40,42378;-3,70248;Private room;39;1;847;18/3/2024;5,4;3;289;87;
280733;â˜…City Center - Gran Via Apartment;596469;Gabriel Avalos;Centro;Universidad;40,42457;-3,70802;Entire home/apt;129;1;60;9/3/2024;0,46;31;274;12;
281224;Â¡Tranquilo y CÃ³modo apto en Ã“pera Palacio Real!;1466005;Pe;Centro;Palacio;40,41685;-3,70882;Entire home/apt;105;2;136;21/6/2023;1,49;1;308;2;
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930;Maria;ChamberÃ­;Almagro;40,43815;-3,69764;Entire home/apt;129;2;289;26/2/2024;1,86;3;283;43;
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930;Maria;ChamberÃ­;Rios Rosas;40,4382;-3,69389;Entire home/apt;95;2;149;11/3/2024;0,98;3;147;13;
120293;ROOM IN THE CENTER -LA LATINA- WIFI;605612;Ulises;Centro;Palacio;40,41143;-3,70912;Private room;38;1;341;15/3/2024;2,22;4;347;67;
310333;Central, cute & Art Apartment;1596220;Paloma;Centro;Embajadores;40,40908377;-3,695142807;Entire home/apt;91;4;167;17/3/2024;1,19;1;193;21;VT-160
132428;Habitacion en Anton Martin;650803;Jose Luis;Centro;Embajadores;40,41012;-3,69709;Private room;33;3;159;11/7/2023;1,92;1;325;7;
336672;Great apartment âˆž4 roomsâˆž close to City Center;1716726;JesÃºs;Arganzuela;Delicias;40,39516;-3,69309;Entire home/apt;147;2;159;18/3/2024;2,08;1;27;42;
136058;Calm, affordable room in Madrid.;666482;Cinthia;Villaverde;Los Angeles;40,35761;-3,69723;Private room;24;1;97;30/10/2022;0,63;1;0;0;
336834;2 bedroom apartament in Chueca-Fuen;1713427;Helena;Centro;Justicia;40,42242;-3,69562;Entire home/apt;90;5;54;10/2/2024;0,37;1;193;5;
339144;COZY APARTMENT MADRID MALASAÃ‘A;1721158;Pau&Patricia;Centro;Universidad;40,42838;-3,70345;Entire home/apt;65;28;143;5/3/2024;0,98;2;189;8;
150123;ELOÃSA Fabuloso Loft en LavapiÃ©s.;723539;Eloisa;Centro;Embajadores;40,40570916;-3,701093325;Entire home/apt;136;1;31;4/9/2023;0,32;12;92;1;VT-
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284;Cesar;Centro;Cortes;40,41285;-3,69553;Entire home/apt;100;3;197;15/3/2024;1,36;1;125;17;VT-6570
341939;Self-catering Apartment in Madrid;1694537;Miguel Angel & Iaia;Centro;Embajadores;40,41037;-3,70018;Entire home/apt;63;12;181;11/11/2023;1,23;1;139;4;
167183;private house B & B. Arturo Soria (Metro);796746;Consuelo;Hortaleza;Piovera;40,45575;-3,64912;Private room;78;1;42;16/2/2024;0,29;2;347;2;
342095;Lovely apartment CENTRAL MADRID !;1703448;Elena;Centro;Embajadores;40,41015;-3,69797;Entire home/apt;90;5;39;3/1/2024;0,27;2;278;3;
177523;Estudio en MalasaÃ±a - Fuencarral;596469;Gabriel Avalos;Centro;Universidad;40,42855453;-3,702784061;Entire home/apt;88;1;35;19/10/2023;0,23;31;351;5;
345249;Paseo Castellana Deluxe Santiago Bernabeu;1751133;The Punset Family;TetuÃ¡n;Almenara;40,47148;-3,68946;Entire home/apt;145;32;31;11/1/2024;0,23;2;330;3;VT-1896
196197;THIS GREAT VIEW IN BRIGHT LATINA;852616;Meyling;Centro;Palacio;40,41235;-3,70967;Entire home/apt;88;3;419;7/3/2024;2,74;2;225;51;
347510;Classy Central Family AlcalÃ¡ Deluxe;1751133;The Punset Family;Salamanca;Fuente del Berro;40,42881;-3,66605;Entire home/apt;149;32;42;17/4/2021;0,29;2;233;0;VT-1897
198296;Very quiet central top floor with 2 terraces;967721;Santi;Centro;Universidad;40,42589;-3,70565;Entire home/apt;171;2;77;12/2/2024;0,55;2;126;1;
361053;Cozy, luminous  excellenty placed;1729503;Ana;Retiro;NiÃ±o JesÃºs;40,40988;-3,67503;Entire home/apt;144;2;236;16/3/2024;1,62;2;131;52;VUT 8713
199016;HabitaciÃ³n en Ã¡tico muy cÃ©ntrico con dos terrazas;967721;Santi;Centro;Universidad;40,4257;-3,70383;Private room;41;3;32;27/2/2024;0,3;2;313;6;
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617;Bibiana;Centro;Sol;40,41676;-3,70682;Private room;49;2;566;7/3/2024;3,89;1;161;60;
199201;Converted theatre, historic centre;749212;Henrietta;Centro;Embajadores;40,41319;-3,7024;Private room;99;3;192;3/3/2024;1,26;1;9;16;
371532;Fantastic Location. Great apartment, Opera;1871034;Olga;Centro;Palacio;40,41944;-3,70945;Entire home/apt;89;2;146;15/3/2024;1,01;1;73;30;
374558;Swimming Pool & Chill Out Terrace - trendy Chueca;1884261;Henrique Manuel;Centro;Justicia;40,42166;-3,69615;Entire home/apt;77;1;149;17/3/2024;1,12;1;63;50;
604150;El RincÃ³n de Serrano;2990747;RaÃºl;Salamanca;Castellana;40,4312;-3,68502;Entire home/apt;115;4;2;19/9/2013;0,02;1;123;0;
375472;Estupenda habitaciÃ³n en el centro;1888816;Margarita;Arganzuela;Acacias;40,40334;-3,70254;Private room;32;5;150;10/2/2024;1,06;4;11;2;
604632;habitacion luminosa madrid-centro;2993477;Geronima;TetuÃ¡n;Berruguete;40,457;-3,70436;Private room;28;1;79;10/2/2024;0,73;5;364;15;
376379;Great Studio for Rent in Madrid;1892467;Laura;Centro;Embajadores;40,41115;-3,69673;Entire home/apt;70;7;35;10/3/2024;0,28;2;256;4;
605339;NiceStay_HighValue_Orange RoomWIFI;2783896;Ivaylo;Latina;Lucero;40,40743;-3,74293;Private room;31;3;245;18/3/2024;1,74;3;28;25;
396532;Apart. 25mts from Gran Via,exterior;1981346;Daniel;Centro;Sol;40,41959;-3,70373;Entire home/apt;119;3;121;24/9/2023;0,84;1;79;2;
608742;Central and quiet.;3017315;Cristina;Centro;Palacio;40,41744;-3,70873;Entire home/apt;86;2;633;18/3/2024;4,47;3;16;60;
397778;PUERTA DEL SOL VI - MADRID CENTRE;1408525;Mad4Rent;Centro;Sol;40,41506;-3,7029;Entire home/apt;98;3;79;17/3/2024;0,6;73;246;25;VT- 553
404569;GRAN VIA  -  Vll -MADRID CENTRE;1408525;Mad4Rent;Centro;Universidad;40,42552;-3,70589;Entire home/apt;104;3;88;8/3/2024;0,79;73;275;15;0
618576;Puerta del Sol - Palacio Real.;3017315;Cristina;Centro;Palacio;40,41771;-3,70925;Entire home/apt;99;2;434;8/3/2024;3,1;3;14;65;
406341;Quiet downtown Madrid, nearby all;2024487;Fernando;Salamanca;Lista;40,42978;-3,67817;Private room;29;4;190;3/1/2024;1,31;1;197;22;
414763;LATINA - lV - STUDIO MADRID CENTRE;1408525;Mad4Rent;Centro;Embajadores;40,41281;-3,70749;Entire home/apt;85;3;97;6/3/2024;0,7;73;234;29;0
415967;LAVAPIES CLASSY (CENTER TOWN);2068619;Alfonso;Centro;Embajadores;40,40827;-3,70049;Entire home/apt;90;7;151;25/11/2018;1,04;2;84;0;
420039;Bonito estudio en pleno centro ReciÃ©n reformado;9934732;Fernando Javier;Centro;Universidad;40,42738;-3,70635;Entire home/apt;104;1;700;28/1/2024;4,87;3;276;3;VT 7436
644656;Piso de 3 habitaciones junto al metro;3226403;Lili;Ciudad Lineal;Pueblo Nuevo;40,42432;-3,6399;Private room;35;7;4;19/1/2023;0,07;2;322;0;
655514;Room for one or two people;3226403;Lili;Ciudad Lineal;Pueblo Nuevo;40,42432;-3,6399;Private room;30;4;5;18/9/2023;0,35;2;279;3;
427407;study sol-atocha I;2106353;Reyes;Centro;Embajadores;40,41155;-3,70146;Entire home/apt;133;2;14;6/10/2023;0,1;2;306;1;
661255;Feel at home (ATTIC);3338284;Sonia;Centro;Embajadores;40,4104805;-3,706396103;Entire home/apt;126;3;53;12/11/2023;0,38;1;294;12;
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007;Lola;ChamberÃ­;Arapiles;40,43028;-3,70732;Entire home/apt;132;3;228;14/2/2024;1,6;1;50;16;VT-2555
429604;sol-atocha II study;2106353;Reyes;Centro;Cortes;40,4135;-3,70145;Entire home/apt;139;2;8;25/6/2023;0,06;2;310;3;
668753;Sunny bdm. One of Madrid best areas;3385307;Iguacel;ChamberÃ­;Trafalgar;40,43287;-3,7007;Private room;46;4;81;29/1/2020;0,63;2;304;0;
449218;Central, fully equipped, best price;2230279;Marina;Centro;Justicia;40,42849;-3,70183;Entire home/apt;61;4;421;7/3/2024;2,92;1;195;58;
451174;Large single room in MadridÂ´s trending Almagro.;2240898;Alejandro;ChamberÃ­;Almagro;40,434551;-3,698387;Private room;48;3;43;18/2/2024;0,6;1;80;19;
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL;1941314;Xavier;Centro;Palacio;40,41747;-3,70979;Entire home/apt;250;2;163;22/10/2023;1,28;1;169;6;
459303;GRAN VIA - l - CENTRAL & BRIGHT;1408525;Mad4Rent;Centro;Universidad;40,42548;-3,7042;Entire home/apt;104;3;96;29/2/2024;0,84;73;295;27;VT- 556
